title,na_sales,jp_sales,pal_sales,other_sales,total_title,popular_title,flop_title
NFL Xtreme,0.379999995231628,NULL,0.259999990463257,0.0500000007450581,1,North America,Other Region
Kirarin * Revolution: Atsumete,NULL,0.00999999977648258,NULL,NULL,1,Japan,Other Region
NORTH,NULL,NULL,NULL,NULL,4,Other Region,Other Region
Black Panther: Yakuza New Chap,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Restaurant Story,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tiny Toon Adventures: Buster a,NULL,NULL,NULL,NULL,1,Other Region,Other Region
KAITEN PATISSIER,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Destrega,0.0399999991059303,NULL,0.0299999993294477,0,2,North America,Other Region
Out of Line,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Tanjou Debut for WonderSwan,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Cold War,0.0199999995529652,NULL,0.00999999977648258,0,2,North America,Other Region
Flower Shop: Winter In Fairbro,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Jewel Mania,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Doraemon: Nobita no Uchuu Eiyu,NULL,0.0700000002980232,NULL,NULL,1,Japan,Other Region
"Yattaman DS 2: BikkuriDokkiri ",NULL,0.00999999977648258,NULL,NULL,1,Japan,Other Region
Wallace & Gromit's Grand Adven,NULL,NULL,NULL,NULL,8,Other Region,Other Region
Fatal Fury: The Battle of Fury,NULL,NULL,NULL,NULL,1,Other Region,Other Region
3-bun Tenkatouitsu: Harumon Se,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Final Fantasy IV: The After Ye,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ys Online: The Call of Solum,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dear Boys,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ways to the Woods,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Paper Mario: The Origami King,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Bomberman Ultra: Battlefest,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ultimate Qix,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dragon Age II: The Black Empor,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Umineko no Naku Koro ni San: S,NULL,0.0199999995529652,NULL,NULL,1,Japan,Other Region
Star Blitz,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Zooo,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tap Heroes,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Bratz: Super Babyz,0.259999990463257,NULL,0,0.0199999995529652,2,North America,Europe and Africa
Ray Tracers,0.0399999991059303,NULL,0.0199999995529652,0,2,North America,Other Region
Disciples III: Resurrection,0.00999999977648258,NULL,0,0,1,North America,Europe and Africa
way to the woods,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Cosmic Fantasy Visual Shuu,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Legend of Dungeon,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Borderlands Legendary Collecti,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ninku 2: Tenkuuryuu e no Michi,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Rocket Knight Adventures,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tin Star,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Sid Meier's Railroad Tycoon De,NULL,NULL,NULL,NULL,1,Other Region,Other Region
"Dragon Quest Builders: Revive ",0.189999997615814,0.749999992549419,0.240000002086163,0.0699999984353781,4,Japan,Other Region
The Da Vinci Code,0.099999999627471,NULL,0.0600000005215406,0.0199999995529652,3,North America,Other Region
"Duke Grabowski, Mighty Swashbu",NULL,NULL,NULL,NULL,3,Other Region,Other Region
War of the Fallen,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Shrek Smash n' Crash Racing,0.179999999701977,NULL,0.0299999993294477,0.00999999977648258,5,North America,Other Region
Wizardry Twin Pack,NULL,0.0199999995529652,NULL,NULL,1,Japan,Other Region
"International Cricket Captain ",NULL,NULL,0.00999999977648258,0,15,Europe and Africa,Other Region
Gauntlet,0.46000000834465,NULL,0.0299999993294477,0.00999999977648258,6,North America,Other Region
Scooby-Doo! Who's Watching Who,0.149999998509884,NULL,0.0199999995529652,0.0199999995529652,2,North America,Other Region
Play Novel: Silent Hill,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Neo Golden Logres,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Persona 4: The Ultimax Ultra S,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Super Robot Wars UX,NULL,0.180000007152557,NULL,NULL,1,Japan,Other Region
Parfait,NULL,0.0299999993294477,NULL,NULL,1,Japan,Other Region
Legendary Fishing,0.0299999993294477,0,NULL,0,2,North America,Japan
Mirai Nostalgia,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mahjong Solitaire,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Pokemon,NULL,NULL,NULL,NULL,1,Other Region,Other Region
MDK / MDK2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Party Arcade,0.0500000007450581,NULL,NULL,0.00999999977648258,1,North America,Other Region
SWAT 4,NULL,NULL,0.0199999995529652,0,1,Europe and Africa,Other Region
Kawaii Koinu DS,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Child of Light,NULL,0.0599999986588955,0.0700000002980232,0.00999999977648258,8,Europe and Africa,Other Region
Exector,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Earthfall,0.0599999986588955,NULL,NULL,0.00999999977648258,3,North America,Other Region
Ball Jacks,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Sword of Fargoal,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Sonic Rush,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Last Bible III,NULL,NULL,NULL,NULL,1,Other Region,Other Region
One Unit Whole Blood,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Fitness Boxing,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Wild 9,0.129999995231628,NULL,0.0900000035762787,0.0199999995529652,1,North America,Other Region
The King of Fighters '99,NULL,0.109999999403954,NULL,0.00999999977648258,2,Japan,Other Region
Black & White 2: Battle of the,0.00999999977648258,NULL,NULL,0,1,North America,Other Region
Resident Evil VII: Biohazard,NULL,NULL,NULL,NULL,3,Other Region,Other Region
KTBG: Kill The Bad Guy,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Star Wars: Rogue Squadron,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Z-Kai Kyuukyoku no Eitango 150,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Chrono,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hard West 2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Harvest Moon: Sunshine Islands,0.349999994039536,0.170000001788139,0.0299999993294477,0.0299999993294477,1,North America,Europe and Africa
Scribblenauts: Showdown,0.0999999977648258,NULL,0.0299999993294477,0.0199999995529652,3,North America,Other Region
Trilby's Notes,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Freeze Tag Fun Pack #2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tiny Touchdown,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Plane Crazy,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Initial D: Another Stage,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Rise of the Argonauts,0.0800000000745058,NULL,0.249999994412065,0.0399999991059303,3,Europe and Africa,Other Region
Racing Team Manager,NULL,NULL,0,0,1,Europe and Africa,Europe and Africa
ACA NEOGEO RIDING HERO,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Absolute: Blazing Infinity,NULL,NULL,NULL,NULL,2,Other Region,Other Region
A340 500/600,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mahjong 300,NULL,NULL,0.0299999993294477,0,1,Europe and Africa,Other Region
Battle Princess Madelyn,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Formula One: Built to Win,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Emergency Room 2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
J-League Pro Striker 2,NULL,0.0399999991059303,NULL,NULL,1,Japan,Other Region
Sorcery Saga: Curse of the Gre,NULL,0.0299999993294477,0,0,1,Japan,Europe and Africa
Donkey Konga 3: Tabe-houdai! H,NULL,NULL,NULL,NULL,1,Other Region,Other Region
PC Fútbol 2006,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Bee Movie Game,0.92000000551343,NULL,0.0499999988824129,0.0799999982118607,6,North America,Other Region
America's Army: Rise of a Sold,0.189999997615814,NULL,0.0500000007450581,0.00999999977648258,2,North America,Other Region
Outland,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Tekken Card Challenge,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Street Fighter X Tekken,0.839999981224537,0.140000000596046,0.390000000596046,0.179999999701977,5,North America,Japan
Mega Man,0.449999988079071,0.270000010728836,0.0799999982118607,0.00999999977648258,6,North America,Other Region
Yu-Gi-Oh! 5D's World Champions,0.280000008642673,0.160000003874302,0.0499999988824129,0.0299999993294477,2,North America,Other Region
"Pachinko Kamen Rider: Shocker ",NULL,0.0299999993294477,NULL,NULL,1,Japan,Other Region
Pass The Punch,NULL,NULL,NULL,NULL,4,Other Region,Other Region
RoboBlitz,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Hallowed Legends: Templar,NULL,NULL,0.00999999977648258,0,1,Europe and Africa,Other Region
Raguy (CD),NULL,NULL,NULL,NULL,1,Other Region,Other Region
Nuclien,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Need for Speed: Underground 2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
King of Kings III,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ski Resort Tycoon II,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ashen (2018),NULL,NULL,NULL,NULL,2,Other Region,Other Region
Gran Turismo HD Install Disc,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Kawasaki Caribbean Challenge,NULL,NULL,NULL,NULL,1,Other Region,Other Region
ChromaGun,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Defense of the Middle Kingdom,NULL,NULL,NULL,NULL,1,Other Region,Other Region
WWF SmackDown!,2.00999999046326,0.0599999986588955,1.35000002384186,0.159999996423721,2,North America,Japan
Rune: Viking Warlord,0.129999995231628,NULL,0.100000001490116,0.0299999993294477,1,North America,Other Region
"Nichibutsu Arcade Classics 2: ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Maus DS,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Elven Legacy: Siege,NULL,NULL,NULL,NULL,1,Other Region,Other Region
GLITCHED,NULL,NULL,NULL,NULL,4,Other Region,Other Region
San Goku Shi VIII,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Forgotten Realms: Demon Stone,0.160000000149012,NULL,0.0999999977648258,0.0299999993294477,3,North America,Other Region
Noah's Ark,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Adventure Of Hourai High S,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Fairy Fencer F: Refrain Chord,NULL,NULL,NULL,NULL,4,Other Region,Other Region
The Elder Scrolls Online: Morr,0.220000002533197,NULL,0.150000002235174,0.0499999988824129,3,North America,Other Region
TASOMACHI: Behind the Twilight,NULL,NULL,NULL,NULL,4,Other Region,Other Region
Chick Chick Chicky,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Digital Art Gallery: Callad,NULL,NULL,NULL,NULL,1,Other Region,Other Region
ACA NEOGEO PUZZLED,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Call of Duty: Advanced Warfare,10.6599998921156,0.350000003352761,7.98999986052513,2.81000003032386,5,North America,Japan
Turning Point: Fall of Liberty,0.439999997615814,NULL,0.0499999988824129,0.0399999991059303,3,North America,Other Region
Asterix,NULL,NULL,NULL,NULL,6,Other Region,Other Region
Awakening: The Black Tree,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Sega Ages 2500 Series Vol. 19:,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Card Hunter,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Stomping Land,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Battle Dodge Ball II,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Can you escape Mermaid Cage 2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Last Express,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Fit Music,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Utopia,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tak: The Great Juju Challenge,0.379999998956919,NULL,0.099999999627471,0.00999999977648258,5,North America,Other Region
The Sims 3: Fast Lane Stuff,0.00999999977648258,NULL,0.0500000007450581,0.00999999977648258,1,Europe and Africa,Other Region
Skeasy,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Card Captor Sakura: Sakura Car,NULL,NULL,NULL,NULL,2,Other Region,Other Region
World of Warcraft: Legion,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Skylanders: Giants,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Firegirl,NULL,NULL,NULL,NULL,6,Other Region,Other Region
Really? Really!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Luc Bernard's Eternity's Child,NULL,NULL,NULL,NULL,2,Other Region,Other Region
VM Japan,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Princess Guide,NULL,0.0199999995529652,NULL,NULL,2,Japan,Other Region
Save me Mr Tako: Tasukete Tako,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Chime,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Sega Ages Vol.2: Space Harrier,NULL,NULL,NULL,NULL,1,Other Region,Other Region
WarDevil: Enigma,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Baseball Stars Professional (C,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Slayers,NULL,0.119999997317791,NULL,NULL,1,Japan,Other Region
Norinori Relakkuma: Hit Song O,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Luciennes Quest,NULL,NULL,NULL,NULL,1,Other Region,Other Region
John Madden Football '92,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Monster Rancher Advance,0,NULL,0,0,1,North America,North America
Yakouchuu GB,NULL,NULL,NULL,NULL,1,Other Region,Other Region
War in Middle Earth,NULL,NULL,NULL,NULL,7,Other Region,Other Region
Raibuon DS,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Alien Rage,NULL,NULL,NULL,NULL,3,Other Region,Other Region
"Dream Audition Super Hit Disc ",NULL,NULL,NULL,NULL,2,Other Region,Other Region
BoundlessPlanet,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Duke Nukem 3D: Plutonium Pak,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hyperdimension Idol Neptunia P,0.0199999995529652,0.0399999991059303,0.0199999995529652,0.00999999977648258,1,Japan,Other Region
"Johnny Turbo's Arcade: Wizard ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Red Johnson's Chronicles: Epis,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Burning Fight,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Crowntakers,NULL,NULL,NULL,NULL,4,Other Region,Other Region
Microsoft Combat Flight Simula,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Roller Angels,NULL,NULL,NULL,NULL,1,Other Region,Other Region
G.I. Joe: Operation Blackout (,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Turok 3: Shadow of Oblivion,0.119999997317791,NULL,0.0500000007450581,0,2,North America,Other Region
Deadly Arts,0.0299999993294477,NULL,0.00999999977648258,0,2,North America,Other Region
Tsuyo Kiss 2 Gakki: Swift Love,NULL,0.0199999995529652,NULL,NULL,1,Japan,Other Region
Space Hunter,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Pachi-Slot Teiou 7,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Eschalon: Book I,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Zu Online,NULL,NULL,NULL,NULL,1,Other Region,Other Region
"True Love Story: Summer Days, ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Slotter Up Core 11: Kyoujin no,NULL,0,NULL,NULL,1,Japan,Japan
Bugs'N'Balls,NULL,NULL,NULL,NULL,1,Other Region,Other Region
One Spear Arena,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dyscourse,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Prince of Persia: Epilogue,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Shinobi II: The Silent Fury,NULL,NULL,NULL,NULL,1,Other Region,Other Region
ESPN Step Aerobics,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hama no Tsuriken,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Alone in the Dark: Inferno,0.0900000035762787,NULL,0.0299999993294477,0.00999999977648258,1,North America,Other Region
Super Army War,0.0299999993294477,NULL,0.00999999977648258,0,1,North America,Other Region
Scotland Yard,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mr. Basic Meets Bits 'N Bytes,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Adventures of Kid Kleets,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Eyes of Ara,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Unrest,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Tom Clancy's The Division 2,NULL,NULL,NULL,NULL,2,Other Region,Other Region
NHL-Legacy Edition,0.150000002235174,NULL,NULL,0.0199999995529652,2,North America,Other Region
Future Card Buddyfight Mezase!,NULL,0.0299999993294477,NULL,NULL,1,Japan,Other Region
Massive Assault Network 2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Legend of Kay Anniversary,0.0800000000745058,NULL,0.129999997094274,0.0299999993294477,8,Europe and Africa,Other Region
Yakouchuu II: Satsujin Kouru,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Jurassic World Evolution: Comp,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hula Wii: Hula de Hajimeru - B,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Lemonade Tycoon 2: New York Ed,NULL,NULL,NULL,NULL,1,Other Region,Other Region
RockMan & Forte,NULL,0.140000000596046,NULL,0,2,Japan,Other Region
Air Traffic Chaos,0.0500000007450581,NULL,0,0,1,North America,Europe and Africa
Jyuzaengi: Engetsu Sangokuden,NULL,0.0399999991059303,NULL,NULL,2,Japan,Other Region
ACA NEOGEO FATAL FURY SPECIAL,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Castle Clash,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ring of Fire,NULL,NULL,NULL,NULL,1,Other Region,Other Region
3D Classics: Excitebike,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Switch Galaxy Ultra,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Fashion Solitaire,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ultima Online: Renaissance,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dead to Rights: Retribution,0.21000000089407,0.0199999995529652,0.199999995529652,0.0700000002980232,3,North America,Japan
Best Of Tests,0.00999999977648258,NULL,0,0,1,North America,Europe and Africa
B.C. II: Grog's Revenge,NULL,NULL,NULL,NULL,1,Other Region,Other Region
D.P.S.: Dream Program System,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Monkey Tales Games,NULL,NULL,NULL,NULL,2,Other Region,Other Region
"Dead to Rights: Retribution - ",NULL,NULL,NULL,NULL,2,Other Region,Other Region
Dirge of Cerberus: Final Fanta,0.46000000834465,0.509999990463257,NULL,NULL,2,Japan,Other Region
Disney's Tarzan Untamed,0.340000003576279,NULL,0.199999995529652,0.0500000007450581,2,North America,Other Region
Betty Boop's Double Shift,0.0299999993294477,NULL,0,0,1,North America,Europe and Africa
Europa Universalis: Rome Gold,NULL,NULL,0,0,1,Europe and Africa,Europe and Africa
Alien,0.740000009536743,NULL,0.0399999991059303,0.00999999977648258,5,North America,Other Region
Transformers: Cybertron Advent,0.140000000596046,NULL,0.100000001490116,0.0199999995529652,1,North America,Other Region
International Soccer,0.180000007152557,NULL,0.00999999977648258,0,1,North America,Other Region
Butt-Ugly Martians: Zoom or Do,0.00999999977648258,NULL,0.00999999977648258,0,2,North America,Other Region
Golden Axe III,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Lost Lands: Dark Overlord,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Last Blade (CD),NULL,NULL,NULL,NULL,1,Other Region,Other Region
FortressCraft Chapter 1,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Genji Tsuushin Agedama,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Radical Rabbit Stew,NULL,NULL,NULL,NULL,4,Other Region,Other Region
Gunslingers,0.0700000002980232,NULL,0.0599999986588955,0.0199999995529652,1,North America,Other Region
Dance with Devils,NULL,0.0199999995529652,NULL,NULL,1,Japan,Other Region
Protect Me Knight: Mamotte Kis,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Battle Royale,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Sonic Frontiers,NULL,NULL,NULL,NULL,7,Other Region,Other Region
Army of Two: Veteran Map Pack,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Solitaire & Mahjong,0.109999999403954,NULL,NULL,0.00999999977648258,1,North America,Other Region
Mary Skelter: Nightmares,0.00999999977648258,0.0399999991059303,0,0.00999999977648258,2,Japan,Europe and Africa
Guacamelee! 2,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Funaki Masakatsu: Hybrid Wrest,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hell Girls,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Billionaire Blitz,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mafia III,1.2600000500679,0.0399999991059303,2.14999994635582,0.530000001192093,4,Europe and Africa,Japan
NASCAR 2005: Chase for the Cup,1.13000000268221,NULL,0.660000022500753,0.200000006705523,3,North America,Other Region
Baby Felix Halloween,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Neon Chrome,NULL,NULL,NULL,NULL,2,Other Region,Other Region
"Beauty and the Beast: A Board ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Front Row,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Libero Grande,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dreamlords: Resurrection,NULL,NULL,NULL,NULL,1,Other Region,Other Region
ARK Park,0.0399999991059303,NULL,NULL,0.00999999977648258,2,North America,Other Region
Project Lux,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Virtual Chess,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dirt Track Devils,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Infinite Undiscovery,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Red Dead Revolver,1.10999998450279,NULL,0.67000000923872,0.209999997168779,2,North America,Other Region
Armored Core: Silent Line,0.0700000002980232,0.159999996423721,0.0599999986588955,0.0199999995529652,1,Japan,Other Region
Shadow Warrior,NULL,NULL,0,0,2,Europe and Africa,Europe and Africa
Fire ProWrestling 3: Legend Bo,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Samurai Spirits: Zankuro Musou,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Galactic Civilizations II: Twi,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Rise of the Phoenix,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Tetris 2 (weekly jp sales),NULL,0.230000004172325,NULL,0,1,Japan,Other Region
Love of Renai Koutei of Love!,NULL,0.00999999977648258,NULL,NULL,1,Japan,Other Region
Board Game Classics Collection,NULL,NULL,NULL,NULL,1,Other Region,Other Region
chaos ring  II,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Oni V: Innin no Tsugumono,NULL,NULL,NULL,NULL,1,Other Region,Other Region
720°,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Warcraft III: The Frozen Thron,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Milo's Astro Lanes,0.0799999982118607,NULL,0.0199999995529652,0,1,North America,Other Region
Infinite Stratos 2: Love and P,NULL,0.0199999995529652,NULL,NULL,2,Japan,Other Region
Felix: Tale of the Night,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Blockscape,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Dangerous Dave,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Smart Ball,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Kono Subarashii Sekai ni Shuku,NULL,0.0299999993294477,NULL,NULL,4,Japan,Other Region
Swordbreaker The Game,NULL,NULL,NULL,NULL,5,Other Region,Other Region
Irem Arcade Classics,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Game Training Vol 2: Flight,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Jikkyo Powerful Pro Yakyu,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mountain King,0.28999999165535,NULL,0.0199999995529652,0,2,North America,Other Region
Jackie Chan Adventures: Legend,0.129999995231628,NULL,0.0500000007450581,0,1,North America,Other Region
San Francisco Rush  2049,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Adventures of Lolo,0.0599999986588955,NULL,NULL,NULL,4,North America,Other Region
UFO: Afterlight,NULL,NULL,0,NULL,1,Europe and Africa,Europe and Africa
Jamsouls,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Kokuu Hyouryuu Nirgends,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Nickelodeon Vol. 1 4-Pack,NULL,NULL,NULL,NULL,1,Other Region,Other Region
"Hisshou Pachinko * Pachi-Slot ",NULL,0.0199999995529652,NULL,NULL,1,Japan,Other Region
221 B Baker St.,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Daredemo Kantan! Watanabe Akir,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Savage Frontier,NULL,NULL,NULL,NULL,1,Other Region,Other Region
"Tantei Opera Milky Holmes 1.5 ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Brave Frontier,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Digimon Adventure: Anode Tamer,NULL,0.280000001192093,NULL,NULL,1,Japan,Other Region
Code of  Princess EX,0.0199999995529652,0.00999999977648258,NULL,0,1,North America,Other Region
Research and Destroy,NULL,NULL,NULL,NULL,6,Other Region,Other Region
Pitfall: Beyond the Jungle,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Houkago in Beppin Jogakuin,NULL,NULL,NULL,NULL,1,Other Region,Other Region
SatelliTV,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Driver 2,2.35999989509583,0.0199999995529652,2.09999990463257,0.25,1,North America,Japan
Lost Dimension,0.0999999977648258,0.0199999995529652,0.0299999993294477,0.0299999993294477,2,North America,Japan
Double-Ender: Super Kung-Fu/Ro,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Heaven Bound,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Logo Pop Quiz - What's the Ico,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Asterix & Obelix: Slap them Al,NULL,NULL,NULL,NULL,4,Other Region,Other Region
Dragon Ball Z: Budokai 3,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Color Break,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Final Fantasy XI: Scars of Aby,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Arcade Hits: Sonic Wings Speci,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ancient Conquest,NULL,NULL,NULL,NULL,1,Other Region,Other Region
