title,na_sales,jp_sales,pal_sales,other_sales,total_title,popular_title,flop_title
Blazing Star,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Zoids Infinity EX Neo,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Rugby Challenge,NULL,NULL,NULL,NULL,1,Other Region,Other Region
LEGO Marvel's Avengers,1.14999998919666,0.0499999988824129,1.53999998420477,0.389999993145466,8,Europe and Africa,Japan
Here Be Monsters,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hudson Best Collection Vol. 5:,NULL,NULL,NULL,NULL,1,Other Region,Other Region
MapleStory Cygnus Knights Edit,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Medal of Honor: Airborne,0.699999988079071,0.0399999991059303,1.25999996811152,0.369999991729856,4,Europe and Africa,Japan
Cars Mater-National Championsh,0.46000000834465,NULL,0,0.0399999991059303,1,North America,Europe and Africa
"Thomas & Friends: Hero of the ",0,NULL,0.0899999998509884,0.00999999977648258,2,Europe and Africa,North America
Wonder World Amusement Park,0.119999997317791,NULL,0,0.00999999977648258,3,North America,Europe and Africa
Sherlock Holmes: Nemesis,NULL,NULL,0,0,1,Europe and Africa,Europe and Africa
Aquanaut's Holiday,NULL,NULL,NULL,NULL,1,Other Region,Other Region
ARC STYLE: Simple Mahjong 3D,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Conga Master Party!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Boom Blox,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Bomberman Tournament,0.100000001490116,0.100000001490116,0.0399999991059303,0.00999999977648258,1,North America,Other Region
Woody Woodpecker in Crazy Cast,0.00999999977648258,NULL,0,0,1,North America,Europe and Africa
The Surge 2,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Diner Dash,NULL,NULL,NULL,NULL,4,Other Region,Other Region
SeaWorld Adventure Parks Tycoo,NULL,NULL,NULL,NULL,2,Other Region,Other Region
In The Groove,0.0399999991059303,NULL,0.0299999993294477,0.00999999977648258,1,North America,Other Region
ExoSquad,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Alice in Cyberland,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Lilly Adventure,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Wonderland Online,NULL,NULL,NULL,NULL,1,Other Region,Other Region
God Eater 2: Rage Burst,NULL,0.489999994635582,0.0600000005215406,0.00999999977648258,3,Japan,Other Region
Rock Revolution,0.679999992251396,NULL,0,0.0599999986588955,4,North America,Europe and Africa
DuckTales: Remastered,0.0999999977648258,NULL,0.0399999991059303,0.0199999995529652,5,North America,Other Region
Dora the Explorer: World Adven,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Carcophony,NULL,NULL,NULL,NULL,1,Other Region,Other Region
"Marine Sharpshooter 4: Locked ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Supersonic Acrobatic Rocket-Po,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Iron Storm,NULL,0.340000003576279,NULL,0,2,Japan,Other Region
Tales of Graces,NULL,0.219999998807907,NULL,NULL,1,Japan,Other Region
Black Mirror 2,NULL,NULL,0.0399999991059303,0.00999999977648258,1,Europe and Africa,Other Region
D.C. II S.C.: Da Capo II Sprin,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Elemix!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Sorcerer's Maze,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Front Mission 3,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Moonsweeper,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Bloodborne,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Star Fox 64 3D,NULL,NULL,NULL,NULL,1,Other Region,Other Region
"Battlefield 1942: The Road to ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Soukyugurentai Otokuyo,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Beatles: Rock Band,2.81000000238419,NULL,0.90999998152256,0.410000011324883,5,North America,Other Region
Virtua Striker 2,NULL,0.319999992847443,NULL,NULL,1,Japan,Other Region
Sakura Samurai: Art of the Swo,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Baldur's Gate: Dark Alliance,0.890000019222498,NULL,0.559999987483025,0.169999996200204,5,North America,Other Region
Donkey Kong Country 2,0.790000021457672,0.119999997317791,0.270000010728836,0.0399999991059303,1,North America,Other Region
Command & Conquer: Red Alert 3,0.330000007525086,NULL,1.02999998629093,0.129999998956919,4,Europe and Africa,Other Region
My Horse & Me 2: Riding for Go,NULL,NULL,0,0,1,Europe and Africa,Europe and Africa
Astrochase,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Neighbours From Hell Compilati,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Elder Scrolls V: Skyrim An,NULL,NULL,NULL,NULL,5,Other Region,Other Region
Crystal Castles,0.720000028610229,NULL,0.0399999991059303,0.00999999977648258,1,North America,Other Region
X-Men Origins: Wolverine - Unc,0.749999988824129,NULL,0.519999995827675,0.179999995976686,3,North America,Other Region
Cyborg Kuro-Chan 2: White Wood,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Fe,NULL,NULL,NULL,NULL,4,Other Region,Other Region
Backyard Hockey 2005,NULL,NULL,NULL,NULL,1,Other Region,Other Region
