console,genre,total_game_genre,game_percentage,console_segment
OR,Fighting,1,3.23,Genre-Diverse
XS,Strategy,20,3.23,Genre-Diverse
OR,Music,1,3.23,Genre-Diverse
Wii,Fighting,54,3.22,Genre-Diverse
PS3,Platform,61,3.2,Genre-Diverse
BRW,Puzzle,2,3.17,Genre-Diverse
PS4,Strategy,90,3.13,Genre-Diverse
XBL,Fighting,64,3.02,Genre-Diverse
GG,Simulation,10,3.01,Genre-Diverse
PCFX,Sports,2,2.99,Genre-Diverse
PCFX,Action,2,2.99,Genre-Diverse
Int,Adventure,4,2.99,Genre-Diverse
PS4,Puzzle,85,2.95,Genre-Diverse
C64,Fighting,1,2.94,Genre-Diverse
C64,Action,1,2.94,Genre-Diverse
C64,Shooter,1,2.94,Genre-Diverse
NG,Puzzle,5,2.91,Genre-Diverse
XS,Fighting,18,2.9,Genre-Diverse
SNES,Simulation,35,2.89,Genre-Diverse
SNES,Adventure,35,2.89,Genre-Diverse
WinP,Adventure,2,2.86,Genre-Diverse
3DS,Action-Adventure,34,2.85,Genre-Diverse
GBA,Simulation,47,2.83,Genre-Diverse
X360,Simulation,49,2.82,Genre-Diverse
Series,Fighting,13,2.8,Genre-Diverse
DSiW,Shooter,21,2.79,Genre-Diverse
And,Strategy,29,2.76,Genre-Diverse
XB,Role-Playing,27,2.75,Genre-Diverse
XS,Puzzle,17,2.74,Genre-Diverse
5200,Adventure,2,2.74,Genre-Diverse
5200,Racing,2,2.74,Genre-Diverse
VC,Racing,18,2.72,Genre-Diverse
GBA,Fighting,45,2.71,Genre-Diverse
DS,Racing,89,2.71,Genre-Diverse
X360,Platform,46,2.65,Genre-Diverse
PS5,Strategy,17,2.62,Genre-Diverse
DC,Simulation,17,2.6,Genre-Diverse
iOS,Racing,4,2.58,Genre-Diverse
XS,Sports,16,2.58,Genre-Diverse
NS,Misc,60,2.57,Genre-Diverse
GC,Puzzle,17,2.56,Genre-Diverse
N64,Strategy,10,2.54,Genre-Diverse
WiiU,Music,14,2.53,Genre-Diverse
OSX,Puzzle,17,2.53,Genre-Diverse
WiiU,Fighting,14,2.53,Genre-Diverse
PSP,Platform,45,2.49,Genre-Diverse
XB,Strategy,24,2.44,Genre-Diverse
PSV,Puzzle,27,2.44,Genre-Diverse
GC,Simulation,16,2.41,Genre-Diverse
PCE,Simulation,11,2.4,Genre-Diverse
Wii,Role-Playing,40,2.39,Genre-Diverse
OSX,Platform,16,2.38,Genre-Diverse
Series,Music,11,2.37,Genre-Diverse
PS3,Simulation,45,2.36,Genre-Diverse
PSV,Shooter,26,2.35,Genre-Diverse
NES,Fighting,26,2.35,Genre-Diverse
WiiU,Party,13,2.35,Genre-Diverse
PS5,Sports,15,2.31,Genre-Diverse
3DO,Platform,7,2.3,Genre-Diverse
SCD,Simulation,5,2.29,Genre-Diverse
PS4,Visual Novel,66,2.29,Genre-Diverse
DSiW,Racing,17,2.26,Genre-Diverse
Lynx,Strategy,2,2.25,Genre-Diverse
X360,Strategy,39,2.25,Genre-Diverse
Lynx,Role-Playing,2,2.25,Genre-Diverse
Int,Role-Playing,3,2.24,Genre-Diverse
OSX,Shooter,15,2.23,Genre-Diverse
And,Simulation,23,2.19,Genre-Diverse
3DS,Strategy,26,2.18,Genre-Diverse
WiiU,Simulation,12,2.17,Genre-Diverse
CV,Simulation,1,2.17,Genre-Diverse
PSV,Simulation,24,2.17,Genre-Diverse
CV,Role-Playing,1,2.17,Genre-Diverse
CV,Fighting,1,2.17,Genre-Diverse
PS5,Puzzle,14,2.16,Genre-Diverse
PS3,Action-Adventure,41,2.15,Genre-Diverse
GC,Strategy,14,2.11,Genre-Diverse
GG,Strategy,7,2.11,Genre-Diverse
And,Adventure,22,2.09,Genre-Diverse
MS,Simulation,7,2.08,Genre-Diverse
PSV,Strategy,23,2.08,Genre-Diverse
X360,Action-Adventure,36,2.07,Genre-Diverse
PS3,Strategy,39,2.05,Genre-Diverse
N64,Role-Playing,8,2.04,Genre-Diverse
XBL,Adventure,43,2.03,Genre-Diverse
WS,Racing,4,2.01,Genre-Diverse
Series,Party,9,1.94,Genre-Diverse
iOS,Sports,3,1.94,Genre-Diverse
Arc,Sports,1,1.92,Genre-Diverse
Arc,Puzzle,1,1.92,Genre-Diverse
And,Shooter,20,1.9,Genre-Diverse
DSiW,Role-Playing,14,1.86,Genre-Diverse
All,Music,21,1.85,Genre-Diverse
All,Puzzle,21,1.85,Genre-Diverse
3DS,Racing,22,1.85,Genre-Diverse
NS,Party,43,1.84,Genre-Diverse
GIZ,Role-Playing,1,1.82,Genre-Diverse
GIZ,Adventure,1,1.82,Genre-Diverse
PSV,Action-Adventure,20,1.81,Genre-Diverse
PSV,Fighting,20,1.81,Genre-Diverse
GG,Adventure,6,1.81,Genre-Diverse
N64,Adventure,7,1.78,Genre-Diverse
WW,Fighting,8,1.72,Genre-Diverse
DC,Platform,11,1.68,Genre-Diverse
3DS,Shooter,20,1.68,Genre-Diverse
Wii,Music,28,1.67,Genre-Diverse
VC,Misc,11,1.66,Genre-Diverse
NGage,Simulation,1,1.64,Genre-Diverse
NGage,Adventure,1,1.64,Genre-Diverse
PSV,Music,18,1.63,Genre-Diverse
Linux,Shooter,6,1.62,Genre-Diverse
GEN,Simulation,13,1.62,Genre-Diverse
WiiU,Strategy,9,1.62,Genre-Diverse
Linux,Visual Novel,6,1.62,Genre-Diverse
DS,Shooter,53,1.61,Genre-Diverse
BRW,Role-Playing,1,1.59,Genre-Diverse
BRW,Platform,1,1.59,Genre-Diverse
PS4,Music,45,1.56,Genre-Diverse
Wii,Strategy,26,1.55,Genre-Diverse
NES,Simulation,17,1.54,Genre-Diverse
WW,Role-Playing,7,1.51,Genre-Diverse
WS,Shooter,3,1.51,Genre-Diverse
3DS,Fighting,18,1.51,Genre-Diverse
NS,Music,35,1.5,Genre-Diverse
Int,Action-Adventure,2,1.49,Genre-Diverse
PCFX,Puzzle,1,1.49,Genre-Diverse
PCFX,Shooter,1,1.49,Genre-Diverse
PCFX,Platform,1,1.49,Genre-Diverse
MS,Strategy,5,1.49,Genre-Diverse
PS2,Puzzle,52,1.46,Genre-Diverse
WinP,Racing,1,1.43,Genre-Diverse
AJ,Role-Playing,1,1.39,Genre-Diverse
XOne,Music,27,1.38,Genre-Diverse
X360,Music,24,1.38,Genre-Diverse
5200,Simulation,1,1.37,Genre-Diverse
GEN,Adventure,11,1.37,Genre-Diverse
DS,Fighting,44,1.34,Genre-Diverse
DSi,Fighting,1,1.32,Genre-Diverse
DSi,Action,1,1.32,Genre-Diverse
DSi,Platform,1,1.32,Genre-Diverse
PC,Fighting,165,1.31,Genre-Diverse
Series,Misc,6,1.29,Genre-Diverse
PSV,Racing,14,1.27,Genre-Diverse
PS3,Visual Novel,24,1.26,Genre-Diverse
And,Sports,13,1.24,Genre-Diverse
And,Action-Adventure,12,1.14,Genre-Diverse
Linux,Sports,4,1.08,Genre-Diverse
Linux,Action-Adventure,4,1.08,Genre-Diverse
VC,Simulation,7,1.06,Genre-Diverse
DSiW,Fighting,8,1.06,Genre-Diverse
And,Racing,11,1.05,Genre-Diverse
All,Misc,12,1.05,Genre-Diverse
XB,Puzzle,10,1.02,Genre-Diverse
XBL,Simulation,20,0.94,Genre-Diverse
SCD,Puzzle,2,0.92,Genre-Diverse
3DS,Music,11,0.92,Genre-Diverse
WiiU,MMO,5,0.9,Genre-Diverse
OSX,Action-Adventure,6,0.89,Genre-Diverse
OSX,Sports,6,0.89,Genre-Diverse
OSX,Racing,6,0.89,Genre-Diverse
And,Platform,9,0.86,Genre-Diverse
PS3,Music,16,0.84,Genre-Diverse
PS3,Puzzle,16,0.84,Genre-Diverse
XS,Music,5,0.81,Genre-Diverse
X360,Puzzle,14,0.81,Genre-Diverse
XS,Misc,5,0.81,Genre-Diverse
XS,Party,5,0.81,Genre-Diverse
2600,Simulation,4,0.8,Genre-Diverse
2600,Role-Playing,4,0.8,Genre-Diverse
PS5,Music,5,0.77,Genre-Diverse
PS5,Misc,5,0.77,Genre-Diverse
Int,Music,1,0.75,Genre-Diverse
X360,Visual Novel,13,0.75,Genre-Diverse
NS,Board Game,17,0.73,Genre-Diverse
3DS,Party,8,0.67,Genre-Diverse
XOne,Visual Novel,13,0.66,Genre-Diverse
Wii,Action-Adventure,11,0.66,Genre-Diverse
PS4,Party,19,0.66,Genre-Diverse
iOS,Music,1,0.65,Genre-Diverse
Series,Sandbox,3,0.65,Genre-Diverse
PC,Visual Novel,82,0.65,Genre-Diverse
XS,MMO,4,0.65,Genre-Diverse
iOS,Visual Novel,1,0.65,Genre-Diverse
Series,Education,3,0.65,Genre-Diverse
2600,Adventure,3,0.6,Genre-Diverse
2600,Fighting,3,0.6,Genre-Diverse
PS4,MMO,17,0.59,Genre-Diverse
OSX,Visual Novel,4,0.59,Genre-Diverse
NG,Role-Playing,1,0.58,Genre-Diverse
WiiU,Education,3,0.54,Genre-Diverse
Linux,Racing,2,0.54,Genre-Diverse
XOne,MMO,10,0.51,Genre-Diverse
XOne,Party,10,0.51,Genre-Diverse
And,Fighting,5,0.48,Genre-Diverse
XS,Visual Novel,3,0.48,Genre-Diverse
PS5,MMO,3,0.46,Genre-Diverse
OSX,MMO,3,0.45,Genre-Diverse
All,Party,5,0.44,Genre-Diverse
Series,Visual Novel,2,0.43,Genre-Diverse
Series,Board Game,2,0.43,Genre-Diverse
Series,MMO,2,0.43,Genre-Diverse
3DS,Visual Novel,5,0.42,Genre-Diverse
PC,MMO,52,0.41,Genre-Diverse
2600,Strategy,2,0.4,Genre-Diverse
XBL,Action-Adventure,7,0.33,Genre-Diverse
PS5,Party,2,0.31,Genre-Diverse
PS5,Visual Novel,2,0.31,Genre-Diverse
OSX,Music,2,0.3,Genre-Diverse
NS,MMO,7,0.3,Genre-Diverse
Linux,Fighting,1,0.27,Genre-Diverse
Linux,Music,1,0.27,Genre-Diverse
All,MMO,3,0.26,Genre-Diverse
All,Visual Novel,3,0.26,Genre-Diverse
X360,Party,4,0.23,Genre-Diverse
PSP,Music,4,0.22,Genre-Diverse
PS3,MMO,4,0.21,Genre-Diverse
XB,Action-Adventure,2,0.2,Genre-Diverse
PSN,Action-Adventure,4,0.2,Genre-Diverse
And,Visual Novel,2,0.19,Genre-Diverse
All,Sandbox,2,0.18,Genre-Diverse
PSP,Action-Adventure,3,0.17,Genre-Diverse
PSP,Party,3,0.17,Genre-Diverse
PC,Music,22,0.17,Genre-Diverse
PC,Party,20,0.16,Genre-Diverse
XS,Board Game,1,0.16,Genre-Diverse
OSX,Fighting,1,0.15,Genre-Diverse
GC,Education,1,0.15,Genre-Diverse
DS,Action-Adventure,5,0.15,Genre-Diverse
XOne,Sandbox,3,0.15,Genre-Diverse
PS5,Board Game,1,0.15,Genre-Diverse
PC,Education,16,0.13,Genre-Diverse
Wii,Party,2,0.12,Genre-Diverse
XOne,Board Game,2,0.1,Genre-Diverse
XB,Party,1,0.1,Genre-Diverse
PSN,MMO,2,0.1,Genre-Diverse
XB,Music,1,0.1,Genre-Diverse
And,Music,1,0.1,Genre-Diverse
PSN,Party,2,0.1,Genre-Diverse
NS,Sandbox,2,0.09,Genre-Diverse
All,Board Game,1,0.09,Genre-Diverse
NS,Education,2,0.09,Genre-Diverse
NES,Board Game,1,0.09,Genre-Diverse
3DS,Education,1,0.08,Genre-Diverse
3DS,MMO,1,0.08,Genre-Diverse
PS2,Visual Novel,3,0.08,Genre-Diverse
PS4,Sandbox,2,0.07,Genre-Diverse
PS,Party,2,0.07,Genre-Diverse
PS2,Party,2,0.06,Genre-Diverse
X360,Education,1,0.06,Genre-Diverse
DS,Music,2,0.06,Genre-Diverse
PS2,Action-Adventure,2,0.06,Genre-Diverse
X360,Board Game,1,0.06,Genre-Diverse
PC,Sandbox,7,0.06,Genre-Diverse
GBA,Music,1,0.06,Genre-Diverse
DS,Visual Novel,2,0.06,Genre-Diverse
Wii,MMO,1,0.06,Genre-Diverse
PS3,Party,1,0.05,Genre-Diverse
XOne,Education,1,0.05,Genre-Diverse
XBL,Sandbox,1,0.05,Genre-Diverse
PS,Visual Novel,1,0.04,Genre-Diverse
PC,Board Game,5,0.04,Genre-Diverse
PS,Action-Adventure,1,0.04,Genre-Diverse
PS4,Board Game,1,0.03,Genre-Diverse
PS2,MMO,1,0.03,Genre-Diverse
PS4,Education,1,0.03,Genre-Diverse
PS2,Education,1,0.03,Genre-Diverse
